"2020Q3";"Married/separated";"Greve";22005;11029;10976
"2020Q3";"Married/separated";"Køge";24264;12153;12111
"2020Q3";"Married/separated";"Lejre";12527;6274;6253
"2020Q3";"Married/separated";"Roskilde";34214;17090;17124
"2020Q3";"Married/separated";"Solrød";10149;5077;5072
"2020Q3";"Married/separated";"Faxe";14847;7517;7330
"2020Q3";"Married/separated";"Guldborgsund";22836;11458;11378
"2020Q3";"Married/separated";"Holbæk";27753;13907;13846
"2020Q3";"Married/separated";"Kalundborg";18386;9206;9180
"2020Q3";"Married/separated";"Lolland";15314;7725;7589
"2020Q3";"Married/separated";"Næstved";30785;15441;15344
"2020Q3";"Married/separated";"Odsherred";13386;6715;6671
"2020Q3";"Married/separated";"Ringsted";13557;6891;6666
"2020Q3";"Married/separated";"Slagelse";28353;14201;14152
"2020Q3";"Married/separated";"Sorø";11632;5835;5797
"2020Q3";"Married/separated";"Stevns";9908;4978;4930
"2020Q3";"Married/separated";"Vordingborg";17498;8783;8715
"2020Q3";"Married/separated";"Assens";16764;8411;8353
"2020Q3";"Married/separated";"Faaborg-Midtfyn";21198;10633;10565
"2020Q3";"Married/separated";"Kerteminde";10046;5033;5013
"2020Q3";"Married/separated";"Langeland";5248;2666;2582
"2020Q3";"Married/separated";"Middelfart";16219;8128;8091
"2020Q3";"Married/separated";"Nordfyns";12473;6260;6213
"2020Q3";"Married/separated";"Nyborg";12757;6385;6372
"2020Q3";"Married/separated";"Odense";64848;32474;32374
"2020Q3";"Married/separated";"Svendborg";22289;11141;11148
"2020Q3";"Married/separated";"Ærø";2558;1295;1263
"2020Q3";"Married/separated";"Billund";11042;5547;5495
"2020Q3";"Married/separated";"Esbjerg";43404;21767;21637
"2020Q3";"Married/separated";"Fanø";1550;778;772
"2020Q3";"Married/separated";"Fredericia";19382;9712;9670
"2020Q3";"Married/separated";"Haderslev";21835;10962;10873
"2020Q3";"Married/separated";"Kolding";34954;17500;17454
"2020Q3";"Married/separated";"Sønderborg";30186;15117;15069
"2020Q3";"Married/separated";"Tønder";15446;7756;7690
"2020Q3";"Married/separated";"Varde";21243;10646;10597
"2020Q3";"Married/separated";"Vejen";17399;8821;8578
"2020Q3";"Married/separated";"Vejle";45210;22778;22432
"2020Q3";"Married/separated";"Aabenraa";23883;12003;11880
"2020Q3";"Married/separated";"Favrskov";20595;10322;10273
"2020Q3";"Married/separated";"Hedensted";19924;10020;9904
"2020Q3";"Married/separated";"Horsens";33973;17156;16817
"2020Q3";"Married/separated";"Norddjurs";14316;7214;7102
"2020Q3";"Married/separated";"Odder";9815;4900;4915
"2020Q3";"Married/separated";"Randers";35883;17990;17893
"2020Q3";"Married/separated";"Samsø";1561;785;776
"2020Q3";"Married/separated";"Silkeborg";37238;18645;18593
"2020Q3";"Married/separated";"Skanderborg";26615;13308;13307
"2020Q3";"Married/separated";"Syddjurs";18226;9146;9080
"2020Q3";"Married/separated";"Aarhus";102228;51148;51080
"2020Q3";"Married/separated";"Herning";35628;17918;17710
"2020Q3";"Married/separated";"Holstebro";23355;11706;11649
"2020Q3";"Married/separated";"Ikast-Brande";17034;8590;8444
"2020Q3";"Married/separated";"Lemvig";8751;4408;4343
"2020Q3";"Married/separated";"Ringkøbing-Skjern";24308;12202;12106
"2020Q3";"Married/separated";"Skive";18483;9262;9221
"2020Q3";"Married/separated";"Struer";9098;4567;4531
"2020Q3";"Married/separated";"Viborg";37743;18915;18828
"2020Q3";"Married/separated";"Brønderslev";14706;7371;7335
"2020Q3";"Married/separated";"Frederikshavn";24487;12350;12137
"2020Q3";"Married/separated";"Hjørring";25570;12809;12761
"2020Q3";"Married/separated";"Jammerbugt";16260;8151;8109
"2020Q3";"Married/separated";"Læsø";752;379;373
"2020Q3";"Married/separated";"Mariagerfjord";17082;8570;8512
"2020Q3";"Married/separated";"Morsø";8096;4065;4031
"2020Q3";"Married/separated";"Rebild";12704;6374;6330
"2020Q3";"Married/separated";"Thisted";18046;9106;8940
"2020Q3";"Married/separated";"Vesthimmerlands";14762;7428;7334
"2020Q3";"Married/separated";"Aalborg";70902;35487;35415
"2020Q3";"Widowed";"Copenhagen";14502;3141;11361
"2020Q3";"Widowed";"Frederiksberg";4204;861;3343
"2020Q3";"Widowed";"Dragør";878;228;650
"2020Q3";"Widowed";"Tårnby";2233;545;1688
"2020Q3";"Widowed";"Albertslund";1157;297;860
"2020Q3";"Widowed";"Ballerup";2754;656;2098
"2020Q3";"Widowed";"Brøndby";1907;465;1442
"2020Q3";"Widowed";"Gentofte";3404;685;2719
"2020Q3";"Widowed";"Gladsaxe";2984;642;2342
"2020Q3";"Widowed";"Glostrup";1186;245;941
"2020Q3";"Widowed";"Herlev";1565;367;1198
"2020Q3";"Widowed";"Hvidovre";2480;575;1905
"2020Q3";"Widowed";"Høje-Taastrup";2283;563;1720
"2020Q3";"Widowed";"Ishøj";970;234;736
